# UiPathOrch Module API 情報追記チェック進捗ダッシュボード

## ═══════════════════════════════════════════════════════════════
## 📊 全体進捗サマリー
## ═══════════════════════════════════════════════════════════════
総ファイル数: 219
品質チェック完了: 98
未チェック: 121


## ═══════════════════════════════════════════════════════════════


## ═══════════════════════════════════════════════════════════════
## 📋 全ファイル一覧
## ═══════════════════════════════════════════════════════════════

### 🔍 Orch-*系 (Orchestrator API)

✅ Add-OrchAssetLink.md
✅ Add-OrchCalendarDate.md
✅ Add-OrchFolderMachine.md
✅ Add-OrchFolderUser.md
✅ Add-OrchMachineClientSecret.md
✅ Add-OrchRoleToFolderUser.md
✅ Add-OrchUser.md
✅ Copy-OrchActionCatalog.md
✅ Copy-OrchApiTrigger.md
✅ Copy-OrchAsset.md
✅ Copy-OrchBucket.md
✅ Copy-OrchCalendar.md
✅ Copy-OrchCredentialStore.md
✅ Copy-OrchFolderMachine.md
✅ Copy-OrchFolderUser.md
✅ Copy-OrchLibrary.md
✅ Copy-OrchMachine.md
✅ Copy-OrchPackage.md
✅ Copy-OrchProcess.md
✅ Copy-OrchQueue.md
✅ Copy-OrchQueueItem.md
✅ Copy-OrchRole.md
✅ Copy-OrchTestDataQueue.md
✅ Copy-OrchTestSet.md
✅ Copy-OrchTestSetSchedule.md
✅ Copy-OrchTrigger.md
✅ Copy-OrchUser.md
✅ Copy-OrchWebhook.md
❌ Disable-OrchApiTrigger.md
❌ Disable-OrchFolderMachineAccountMapping.md
❌ Disable-OrchFolderMachineInherit.md
❌ Disable-OrchLicenseRuntime.md
❌ Disable-OrchMaintenanceMode.md
❌ Disable-OrchPersonalWorkspace.md
❌ Disable-OrchTestSetSchedule.md
❌ Disable-OrchTrigger.md
❌ Disable-OrchUserAttended.md
❌ Disable-OrchWebhook.md
❌ Edit-OrchProcess.md
❌ Enable-OrchApiTrigger.md
❌ Enable-OrchFolderMachineAccountMapping.md
❌ Enable-OrchFolderMachineInherit.md
❌ Enable-OrchLicenseRuntime.md
❌ Enable-OrchMaintenanceMode.md
❌ Enable-OrchPersonalWorkspace.md
❌ Enable-OrchTestSetSchedule.md
❌ Enable-OrchTrigger.md
❌ Enable-OrchUserAttended.md
❌ Enable-OrchWebhook.md
❌ Export-OrchJobMedia.md
❌ Export-OrchLibrary.md
❌ Export-OrchPackage.md
❌ Find-OrchFolderNoUserAssigned.md
✅ Get-OrchActionCatalog.md
✅ Get-OrchActivitySetting.md
✅ Get-OrchAlert.md
✅ Get-OrchApiTrigger.md
✅ Get-OrchAsset.md
✅ Get-OrchAssetLink.md
✅ Get-OrchAuditLog.md
✅ Get-OrchAuthenticationSetting.md
