# EXAMPLES セクション検証・修正 進捗管理

## 📊 全体進捗

対象ファイル数: 227
完了: 0
進行中: 0
保留: 0
エラー: 0
未着手: 227

進捗率: 0%

## 📋 ステータス凡例

✅ 完了 - 検証・修正完了、動作確認済み
🔄 修正中 - 問題を発見し修正作業中
⏳ 進行中 - 検証作業中
🟡 保留 - 一時保留（依存関係等）
❌ エラー - 問題あり、要対応
🚀 未着手 - まだ作業していない

## 📁 ファイル一覧

形式: filename | status | priority | effort_remaining | notes

Add-DuUser.md | 🚀 | Normal | 1h | 
Add-OrchAssetLink.md | 🚀 | Normal | 1h | 
Add-OrchCalendarDate.md | 🚀 | Normal | 1h | 
Add-OrchFolderMachine.md | 🚀 | Normal | 1h | 
Add-OrchFolderUser.md | 🚀 | Normal | 1h | 
Add-OrchMachineClientSecret.md | 🚀 | Normal | 1h | 
Add-OrchRoleToFolderUser.md | 🚀 | Normal | 1h | 
Add-OrchUser.md | 🚀 | Normal | 1h | 
Add-PmGroupMember.md | 🚀 | Normal | 1h | 
Add-PmLicenseToPmLicensedGroup.md | 🚀 | Normal | 1h | 
Clear-OrchCache.md | 🚀 | Normal | 1h | 
Copy-OrchActionCatalog.md | 🚀 | Normal | 1h | 
Copy-OrchApiTrigger.md | 🚀 | Normal | 1h | 
Copy-OrchAsset.md | 🚀 | Normal | 1h | 
Copy-OrchBucket.md | 🚀 | Normal | 1h | 
Copy-OrchCalendar.md | 🚀 | Normal | 1h | 
Copy-OrchCredentialStore.md | 🚀 | Normal | 1h | 
Copy-OrchFolderMachine.md | 🚀 | Normal | 1h | 
Copy-OrchFolderUser.md | 🚀 | Normal | 1h | 
Copy-OrchLibrary.md | 🚀 | Normal | 1h | 
Copy-OrchMachine.md | 🚀 | Normal | 1h | 
Copy-OrchPackage.md | 🚀 | Normal | 1h | 
Copy-OrchProcess.md | 🚀 | Normal | 1h | 
Copy-OrchQueue.md | 🚀 | Normal | 1h | 
Copy-OrchQueueItem.md | 🚀 | Normal | 1h | 
Copy-OrchRole.md | 🚀 | Normal | 1h | 
Copy-OrchTestDataQueue.md | 🚀 | Normal | 1h | 
Copy-OrchTestSet.md | 🚀 | Normal | 1h | 
Copy-OrchTestSetSchedule.md | 🚀 | Normal | 1h | 
Copy-OrchTrigger.md | 🚀 | Normal | 1h | 
Copy-OrchUser.md | 🚀 | Normal | 1h | 
Copy-OrchWebhook.md | 🚀 | Normal | 1h | 
Copy-PmExternalApplication.md | 🚀 | Normal | 1h | 
Copy-PmGroup.md | 🚀 | Normal | 1h | 
Copy-PmRobotAccount.md | 🚀 | Normal | 1h | 
Copy-PmUser.md | 🚀 | Normal | 1h | 
Disable-OrchApiTrigger.md | 🚀 | Normal | 1h | 
Disable-OrchFolderMachineAccountMapping.md | 🚀 | Normal | 1h | 
Disable-OrchFolderMachineInherit.md | 🚀 | Normal | 1h | 
Disable-OrchLicenseRuntime.md | 🚀 | Normal | 1h | 
Disable-OrchMaintenanceMode.md | 🚀 | Normal | 1h | 
Disable-OrchPersonalWorkspace.md | 🚀 | Normal | 1h | 
Disable-OrchTestSetSchedule.md | 🚀 | Normal | 1h | 
Disable-OrchTrigger.md | 🚀 | Normal | 1h | 
Disable-OrchUserAttended.md | 🚀 | Normal | 1h | 
Disable-OrchWebhook.md | 🚀 | Normal | 1h | 
Edit-OrchConfig.md | 🚀 | Normal | 1h | 
Edit-OrchProcess.md | 🚀 | Normal | 1h | 
Enable-OrchApiTrigger.md | 🚀 | Normal | 1h | 
